"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.68900453856174,0.979,0.031,0,"0","Clgn"
0,6.66367825300533,0.964,0.02,0,"0","Umodl1"
0,6.70669641785344,0.969,0.026,0,"0","Adcy3"
0,5.90951985726555,0.984,0.047,0,"0","1700012B09Rik"
0,5.79591175490347,0.966,0.029,0,"0","Syt1"
0,5.944343526411,0.961,0.024,0,"0","Ctxn3"
0,6.2968941861954,0.966,0.03,0,"0","Ric8b"
0,6.62055569815518,0.951,0.018,0,"0","Nrn1l"
0,5.10114894606168,0.961,0.03,0,"0","Cntn4"
0,5.13624191218667,0.974,0.045,0,"0","Flrt1"
0,5.91943132360796,0.954,0.027,0,"0","Spef2"
0,5.98810177807172,0.949,0.025,0,"0","Acbd7"
0,5.95347587762002,0.954,0.03,0,"0","Pcolce2"
0,6.49744864803765,0.939,0.019,0,"0","Cnga2"
0,5.36787574268186,0.959,0.041,0,"0","Jakmip1"
0,4.27899301116456,0.965,0.048,0,"0","Elavl3"
0,6.0842724222374,0.966,0.049,0,"0","Dcdc2a"
0,5.30725731514892,0.988,0.073,0,"0","Plekhb1"
0,5.93880946203947,0.932,0.02,0,"0","Tmem74bos"
0,4.94539159640438,0.985,0.075,0,"0","Scn9a"
0,4.85010172944284,0.992,0.084,0,"0","Aplp1"
0,4.21427245291957,0.949,0.047,0,"0","Ebf2"
0,3.87877860690892,0.96,0.061,0,"0","Uchl1"
0,5.76110826055079,0.918,0.024,0,"0","Fgf12"
0,5.74599153913022,0.92,0.031,0,"0","Cfap69"
0,5.53860938333746,0.917,0.033,0,"0","Ak1"
0,5.33087298677047,0.925,0.041,0,"0","Tom1"
0,6.51621023416376,0.901,0.017,0,"0","Faim2"
0,5.03412809281869,0.926,0.045,0,"0","Tspyl4"
0,5.16346156862881,0.931,0.05,0,"0","Tspan7"
0,6.68251955328046,0.879,0.014,0,"0","Kcnc4"
0,4.09000504862054,0.962,0.103,0,"0","Igsf8"
0,5.33843038199606,0.895,0.038,0,"0","Pde4a"
0,4.16918789983025,0.921,0.065,0,"0","Syt11"
0,6.18803158874323,0.872,0.017,0,"0","Fam81b"
0,5.98106060968219,0.879,0.024,0,"0","Gramd1c"
0,3.43748454989094,0.924,0.071,0,"0","Tesc"
0,4.17697839250803,0.936,0.084,0,"0","Rufy3"
0,3.88631961264781,0.889,0.038,0,"0","Stmn3"
0,4.15427602323363,0.94,0.089,0,"0","Nrxn1"
0,4.7129528380741,0.894,0.044,0,"0","Trnp1"
0,5.95617670114231,0.872,0.022,0,"0","Acsl6"
0,3.42584466556986,0.888,0.04,0,"0","Lhx2"
0,5.63613257014745,0.871,0.024,0,"0","Snap25"
0,4.48993600978719,0.993,0.146,0,"0","Ttll7"
0,5.43202174652281,0.877,0.032,0,"0","Oscp1"
0,4.08001158371736,0.894,0.05,0,"0","Ebf3"
0,4.19108126996057,0.911,0.07,0,"0","Rab6b"
0,5.28251846224726,0.87,0.029,0,"0","Lrriq1"
0,4.3780411124839,0.92,0.08,0,"0","Pde6d"
0,5.10570387018928,0.88,0.042,0,"0","Manea"
0,4.67902278866044,0.898,0.062,0,"0","Pde1c"
0,4.24201040898091,0.977,0.144,0,"0","Rtn1"
0,4.9180607379464,0.997,0.165,0,"0","Stom"
0,4.23926882647459,0.882,0.054,0,"0","Ank2"
0,3.95913605253488,0.987,0.161,0,"0","Serpine2"
0,5.84029978855237,0.847,0.022,0,"0","Ttll6"
0,4.07746654464935,0.854,0.033,0,"0","Uncx"
0,5.30039944637115,0.843,0.027,0,"0","Mapk8ip2"
0,7.08047419988804,0.826,0.011,0,"0","Cnga4"
0,4.38359337339881,0.992,0.178,0,"0","Prxl2b"
0,3.59929219345193,0.991,0.178,0,"0","Ncam1"
0,4.46788622612685,0.863,0.052,0,"0","Impdh1"
0,5.52700215880373,0.83,0.02,0,"0","Eef1a2"
0,4.99980969213418,0.847,0.037,0,"0","Them6"
0,3.96210122872788,0.9,0.091,0,"0","Klhl5"
0,5.14775938911915,0.835,0.027,0,"0","Fam92b"
0,5.69859222686718,0.828,0.022,0,"0","Carns1"
0,5.01145823658493,0.841,0.037,0,"0","Hist2h2be"
0,6.3768516843814,0.818,0.015,0,"0","Cngb1"
0,4.03841370211395,0.837,0.035,0,"0","Myt1l"
0,4.66776227946895,0.996,0.195,0,"0","Olfm1"
0,4.08063961162937,0.841,0.042,0,"0","Mlf1"
0,5.93225746235544,0.819,0.02,0,"0","Lrguk"
0,5.74908140282531,0.816,0.02,0,"0","Rtp2"
0,5.74751861380263,0.818,0.023,0,"0","Efna3"
0,3.60653696189288,0.942,0.147,0,"0","Cfap36"
0,5.59170710631468,0.814,0.021,0,"0","Rtp1"
0,3.94941594022031,0.986,0.194,0,"0","Sult1d1"
0,3.26563727506886,0.893,0.102,0,"0","Fetub"
0,4.38883482897236,0.844,0.053,0,"0","Rab3a"
0,5.5591488218811,0.809,0.019,0,"0","Fam131c"
0,3.76703621735469,0.875,0.087,0,"0","Id4"
0,4.3742143506996,0.854,0.069,0,"0","Eml2"
0,4.78979469999723,1,0.216,0,"0","Gfy"
0,4.27704013031898,0.859,0.076,0,"0","Ip6k2"
0,5.95988810644443,0.797,0.017,0,"0","Slc17a6"
0,6.73060086934275,0.791,0.012,0,"0","Ano2"
0,6.9470306903523,0.789,0.011,0,"0","Gm11992"
0,6.66498474701489,0.788,0.012,0,"0","Slc1a2"
0,4.96971787397885,1,0.224,0,"0","Chga"
0,3.46809766217091,0.849,0.074,0,"0","Homer2"
0,4.58666412665257,0.807,0.033,0,"0","Spock1"
0,3.21119620849626,0.912,0.14,0,"0","Prnp"
0,4.65694818414927,1,0.228,0,"0","Nsg1"
0,3.43730285427678,0.861,0.094,0,"0","Gpm6a"
0,5.7990402881473,0.782,0.018,0,"0","Clstn2"
0,4.6105730834106,0.812,0.053,0,"0","Epha5"
0,3.41455611288837,0.876,0.118,0,"0","Ift43"
0,3.57756677188398,0.902,0.149,0,"0","Sgpl1"
0,4.38089162082085,1,0.249,0,"0","Fstl5"
0,3.382576329412,0.886,0.135,0,"0","Rap1gds1"
0,5.50720460062749,0.77,0.022,0,"0","Pex5l"
0,3.57060396031575,0.898,0.152,0,"0","Ormdl3"
0,3.23238189631801,0.924,0.179,0,"0","Arl3"
0,5.27123460445719,0.77,0.026,0,"0","Slc24a2"
0,3.34934765144376,0.856,0.113,0,"0","Ahi1"
0,3.43420451652302,0.879,0.136,0,"0","Abhd16a"
0,4.71263343434162,0.782,0.04,0,"0","Pygo1"
0,3.33177148904641,0.78,0.039,0,"0","Tubb3"
0,3.76921346408487,0.823,0.083,0,"0","Ift74"
0,5.99259000959588,0.756,0.016,0,"0","Fam217a"
0,3.46666436683579,0.862,0.123,0,"0","Endod1"
0,3.11803829797181,0.98,0.241,0,"0","Cystm1"
0,4.13478841970618,0.999,0.261,0,"0","Atf5"
0,4.12047790459058,0.798,0.061,0,"0","Traf3ip1"
0,2.96227204981765,0.963,0.227,0,"0","Mgst3"
0,5.17886483106012,0.757,0.022,0,"0","Enkur"
0,1.98168481724722,0.786,0.051,0,"0","Stmn2"
0,3.618557456882,0.84,0.105,0,"0","Ssx2ip"
0,3.20318494382396,0.867,0.132,0,"0","Faim"
0,4.61485020073911,0.768,0.033,0,"0","Ppp1r14c"
0,5.09736486180276,0.758,0.024,0,"0","Rd3"
