"cluster","top10"
"0","Cnga4, Gm11992, Ano2, Adcy3, Kcnc4, Pth2, Slc1a2, Umodl1, Nrn1l, Faim2"
"1","Fcrls, Pf4, Ms4a7, Mrc1, Trem2, C1qc, C1qa, Gpr34, C1qb, C3ar1"
"2","Fcer2a, Ighd, Fcmr, Gm31243, Ms4a1, Bank1, Igkc, Iglc2, H2-Ob, Cd79a"
"3","Acaa1b, Serpinb5, Krt15, Ccdc3, Fam110c, Defb1, Anxa8, Lgr6, Ifi202b, Sfn"
"4","Gpihbp1, Rbp7, Sox18, Ptprb, Emcn, Cyyr1, Robo4, Sox17, Tie1, Myct1"
"5","Cd3e, Cd3g, Cd3d, Trac, Icos, Cxcr6, Cd6, Cd8b1, Ctla4, Trbc2"
"6","Siglecf, Cxcr2, Il1r2, Csf3r, Acod1, Clec4d, H2-Q10, Trem1, Stfa2l1, Ptgs2"
"7","Adgre4, Treml4, Ear2, Ace, Apoc2, F10, Gm9733, F13a1, AI839979, Gpr141"
"8","Car10, Nrcam, Abca4, Vit, Slc47a1, Serpinb1b, Igfbp2, Col23a1, Car12, Sema3d"
"9","Nhlh1, Thsd7b, Sox11, Gng8, Nhlh2, Gap43, Cnpy1, Scg2, Insm1, Stk32a"
"10","Ifi205, Cxcl9, Ly6i, Cfb, Trim30c, Ifit2, Ms4a4c, Calhm6, Ifi211, Phf11a"
"11","Ccl17, Cd209a, Tnfsf9, Flt3, Tnip3, Mgl2, Tbc1d4, Clec10a, Tnni2, Kmo"
"12","Bpifa1, Reg3g, Tff2, Gabrp, Ttc36, Serpinb11, Cyp4a12b, Kcnj16, Vtcn1, Sftpd"
"13","Ly6g, Mmp8, 1700047M11Rik, Retnlg, Itgb2l, Wfdc21, Ceacam10, Lcn2, Ngp, 9830107B12Rik"
"14","Elane, Mpo, Ctsg, Ms4a3, Prtn3, Fcnb, 1700020L24Rik, Ska1, Hist1h2ap, Nuf2"
"15","Dpep1, Dpt, Mfap4, Hhip, Mfap5, Sfrp2, Scara5, Gm26771, Apod, Itgbl1"
"16","Klra8, Klra4, Ncr1, Klrb1c, Klra9, Klri2, Klre1, Prf1, Gzma, Klrb1a"
"17","5430419D17Rik, Bpifb4, Gpx6, Chil6, Slc22a2, Vmo1, Ptgds, Slc22a20, Rgr, Prss33"
"18","Smbd1, Galnt13, Coch, Ascl3, Myh7, Kl, Foxi2, Moxd1, Clcnka, 1810063I02Rik"
"19","Muc2, Gldn, Sec14l3, Tex33, Kcnj5, Nipal1, Slc5a11, Oprk1, E330011O21Rik, Cyp2g1"
"20","Tac1, Barx2, Nkd2, Bglap3, Gm14744, Cited4, Lcn11, Tfcp2l1, Foxq1, Itprid1"
"21","Rag1, Vpreb3, Fam129c, Iglc1, Myb, Myl4, Spib, Chst3, Gm30211, Pou2af1"
"22","Higd1b, Gm13861, Pln, Rgs4, Des, Myh11, Slc38a11, Gucy1b1, Mustn1, Ndufa4l2"
"23","Bpifb9a, Odam, Bpifb5, Bpifb9b, 2310003L06Rik, Cabs1, Smr3a, Sval2, Dmbt1, Pip"
"24","Car6, Scgb2b27, Scgb1b27, Csn3, Pinlyp, Cck, Fbp1, Lmod2, 1500002F19Rik, Pglyrp1"
"25","Bglap, Bglap2, Ibsp, Col22a1, Car3, Col1a1, Prss35, Slc13a5, Sp7, Mmp13"
"26","Hist1h1a, Myl4, Hist1h2ab, Pclaf, Hist1h2af, Hist1h1b, Igll1, Hist1h3c, Hist1h2bn, Hist1h2bm"
"27","Foxd3, Gpr37l1, Npy, Mmd2, Gm12688, Gjc3, Cmtm5, Fabp7, Mpz, Bcan"
"28","Gm14743, 5430402E10Rik, Mup5, Mup4, Obp2a, Gm14744, Obp1b, BC051076, Obp1a, Lcn11"
"29","Hmx3, Il25, Ly6g6f, Trpm5, Sh2d7, Avil, Gnat3, Hmx2, Rgs13, Sh2d6"
"30","Gm21762, Klk1b27, Ccr9, Cox6a2, Cd300c, Atp2a1, Havcr1, Siglech, Foxr1, Eldr"
"31","Tmem212, Sntn, Fam216b, Gm31063, Dthd1, Pih1h3b, Ldlrad1, Nhlrc4, 5430402P08Rik, 1700001C02Rik"
"32","Snorc, Ucma, Col2a1, Cytl1, Matn3, Acan, Prg4, Cnmd, Hapln1, Fzd9"
"33","Gzmk, Hist1h2bm, Mxd3, Hist1h1b, Hist1h2bj, Hist1h2an, Hist1h2ak, Ska1, Hist1h2bn, Hist1h3c"
"34","Fezf2, Otop1, Epp13, Ctf2, Myo1a, Gulo, Sall3, 4931428L18Rik, Erbb4, Adamts16"
"35","Clca4a, Csta1, Gm9573, Pbp2, Crct1, Gm44275, Cysrt1, Il1f6, Clca4b, Cnfn"
