p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,8.32147678566753,0.403,0.003,0,2,Fcer2a
0,7.59219585063993,0.663,0.01,0,2,Ighd
0,7.43675171214594,0.617,0.008,0,2,Fcmr
0,6.78193246962592,0.375,0.007,0,2,Gm31243
0,6.45981052409862,0.768,0.01,0,2,Ms4a1
0,5.96606715818135,0.557,0.02,0,2,Bank1
0,5.90898033452413,0.953,0.039,0,2,Igkc
0,5.73902665453677,0.732,0.012,0,2,Iglc2
0,5.519160443057,0.504,0.025,0,2,H2-Ob
0,5.29844870116003,0.97,0.034,0,2,Cd79a
0,11.109431787296,0.397,0.001,0,4,Gpihbp1
0,10.1796390535684,0.284,0.001,0,4,Rbp7
0,9.85861287539777,0.524,0.001,0,4,Sox18
0,9.82499362839201,0.896,0.003,0,4,Ptprb
0,9.76763487591033,0.778,0.003,0,4,Emcn
0,9.58116619603936,0.67,0.002,0,4,Cyyr1
0,9.51882337751112,0.38,0.001,0,4,Robo4
0,9.48630065999267,0.423,0.001,0,4,Sox17
0,9.34297981878254,0.549,0.002,0,4,Tie1
0,9.22082085317579,0.488,0.002,0,4,Myct1
0,8.06445051587935,0.758,0.004,0,5,Cd3e
0,7.73357050751789,0.854,0.006,0,5,Cd3g
0,7.51996316830386,0.809,0.009,0,5,Cd3d
0,7.39389146791957,0.62,0.005,0,5,Trac
0,7.30522027310676,0.545,0.007,0,5,Icos
0,7.15318993223289,0.491,0.006,0,5,Cxcr6
0,7.0934724405567,0.256,0.002,0,5,Cd6
0,6.85913062000147,0.374,0.005,0,5,Cd8b1
0,6.85832548555144,0.277,0.004,0,5,Ctla4
0,6.78942021042447,0.871,0.014,0,5,Trbc2
0,7.64137720188915,0.267,0.003,0,6,Siglecf
0,6.06951157144959,0.772,0.023,0,6,Cxcr2
0,5.99535947570459,0.678,0.033,0,6,Il1r2
0,5.72530581754801,0.751,0.054,0,6,Csf3r
0,5.62535172405107,0.34,0.022,0,6,Acod1
0,5.62523182191668,0.5,0.03,0,6,Clec4d
0,5.54054564122534,0.359,0.02,0,6,H2-Q10
0,5.43543384375709,0.687,0.038,0,6,Trem1
0,5.31179181866233,0.269,0.006,0,6,Stfa2l1
0,5.27958435862778,0.699,0.064,0,6,Ptgs2
0,8.14463725019694,0.793,0.006,0,13,Ly6g
0,7.70750892350586,0.833,0.021,0,13,Mmp8
0,7.08725800227469,0.356,0.003,0,13,1700047M11Rik
0,6.88258000820638,0.927,0.03,0,13,Retnlg
0,6.60665225641552,0.593,0.008,0,13,Itgb2l
0,6.60233151144831,0.996,0.026,0,13,Wfdc21
0,6.50224904944346,0.389,0.004,0,13,Ceacam10
0,6.41398872023695,0.99,0.064,0,13,Lcn2
0,6.40292329058647,0.959,0.021,0,13,Ngp
0,6.31057960842077,0.302,0.004,0,13,9830107B12Rik
0,10.1035987837123,0.328,0.001,0,15,Dpep1
0,9.82573465588081,0.328,0.001,0,15,Dpt
0,9.65656941797145,0.713,0.003,0,15,Mfap4
0,9.64616289495478,0.31,0.001,0,15,Hhip
0,9.28261205232504,0.379,0.002,0,15,Mfap5
0,9.22695353311439,0.693,0.004,0,15,Sfrp2
0,9.07560654210292,0.369,0.002,0,15,Scara5
0,8.94894541967752,0.336,0.001,0,15,Gm26771
0,8.8722362972201,0.895,0.025,0,15,Apod
0,8.73256941714084,0.429,0.001,0,15,Itgbl1
0,12.1506320446883,0.959,0.002,0,31,Tmem212
0,11.8284071233958,0.893,0.001,0,31,Sntn
0,11.4154669645025,0.684,0,0,31,Fam216b
0,11.3780282478974,0.291,0,0,31,Gm31063
0,11.366496696868,0.798,0.001,0,31,Dthd1
0,11.3627571595854,0.31,0,0,31,Pih1h3b
0,11.3283958738299,0.434,0,0,31,Ldlrad1
0,11.268812457904,0.258,0,0,31,Nhlrc4
0,11.2621966663334,0.295,0,0,31,5430402P08Rik
0,11.2543966524409,0.769,0.001,0,31,1700001C02Rik
