"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rps29",9890.79956378097,1.10348582870775,0.0688256610377705,5.6272514163278e-59,3.7663193729482e-55
"Gm42418",11732.1416819226,1.41163245679903,0.101349916848245,2.86238629008456e-45,9.57897571976796e-42
"mt-Atp8",271.440515937199,1.80582300004571,0.139568277256897,1.38974278104428e-39,3.10051614450978e-36
"AY036118",977.388461441472,1.60951996661026,0.134237447595876,2.43458630984523e-34,4.07367154294854e-31
"Rps20",3758.44516240857,-0.859690311869732,0.0723153153504431,1.18060522113112e-33,1.49883732503002e-30
"Plek",1102.347153741,1.06774028087727,0.0900112933072114,1.34364619007622e-33,1.49883732503002e-30
"Nmt1",296.165948201282,1.52894124140964,0.13472752912803,3.90687733671219e-31,3.73553285923067e-28
"Ier2",1575.44892366142,-0.957570304829013,0.0874132018989487,4.78762512993877e-29,3.70292314983414e-26
"mt-Nd3",953.940904410471,1.02776585932576,0.0938182166253556,4.97927810376621e-29,3.70292314983414e-26
"Rps16",3596.39980048204,-0.79199734713278,0.0743225739338816,1.54691260150537e-27,1.03534860418754e-24
"H3f3a",1584.99429969334,-0.834545353589381,0.0792729774600489,5.89864315059355e-27,3.58905623699297e-24
"Rpl9",2120.04427727685,-0.804455877539422,0.0773714067544962,2.39971561555516e-26,1.29611509041754e-23
"Rps10",3132.26434196366,-0.76497480818199,0.0735562683197705,2.51748037881788e-26,1.29611509041754e-23
"Rpl10",2189.5854114777,-0.780244083832929,0.0767316917371898,2.67696990628989e-25,1.27978282734273e-22
"Rps7",2575.36148411276,-0.779603761724198,0.0774834442887577,8.17304870528313e-25,3.64681433229733e-22
"Rpl27",1825.14743000494,-0.827773778895132,0.0830085150357317,1.85605480530675e-24,7.76410925744879e-22
"Btg2",3042.61803474698,-0.909321887961961,0.0917553574157845,2.98861923155842e-24,1.17663697157768e-21
"Mup4",60.5631923122469,5.26056835657528,0.52106730246953,3.38803936843032e-24,1.25978597182801e-21
"Cbr2",54.9858368579375,3.91834467349975,0.396417810262912,4.61860761800684e-24,1.62696530459578e-21
"Rps13",2990.43967678689,-0.766803434161703,0.0778060733722613,6.43581493460034e-24,2.153745467864e-21
"Tpt1",6941.90087621468,-0.70923508509548,0.0716241517004285,8.4081708166717e-24,2.67980415599922e-21
"Rps2",1700.51234519489,-0.819674640716306,0.0839332651564375,1.40975764046687e-23,4.28886722165672e-21
"Rpl32",3828.98846315954,-0.712252827061651,0.0728610768626083,1.57549337034696e-23,4.58468570770966e-21
"Rpl30",3490.73507017593,-0.723070250897712,0.0749508259315522,5.32393039561197e-23,1.48471108907629e-20
"Oaz1",1059.45631593523,-0.82373186207776,0.0857136668643975,6.77244177174197e-23,1.81311811113076e-20
"Rpl17",2897.62950623549,-0.76666227052999,0.079806620818007,7.27345165966931e-23,1.87235430608333e-20
"Gm15655",59.375922597584,3.05551213144064,0.319204851192199,8.10988356582635e-23,2.01035002615095e-20
"Maf",994.383710025142,0.92948467928217,0.0975405237325575,1.39550992678295e-22,3.33576712141368e-20
"Rps23",3392.04908280245,-0.69985595743457,0.073407863192512,1.70213573687979e-22,3.92841189204705e-20
"Rps19",2485.48796059601,-0.754003812042866,0.0802949118407123,5.99070338633331e-22,1.33652592549096e-19
"Rps28",3682.87763383871,0.661938791760974,0.070736892793378,1.01683576912342e-21,2.12677556335721e-19
"Tmsb4x",21871.4336665169,-0.697692494319452,0.0754864816299075,9.96457023048378e-22,2.12677556335721e-19
"Rps6",1479.58284663485,-0.742546677451468,0.0799970557230218,1.71604594458006e-21,3.48045318396191e-19
"Ier3",1769.17100667972,-0.941473827089601,0.102119665167564,2.21155388157453e-21,4.35350886158187e-19
"Cd14",2226.5457031057,-0.888133474323864,0.0966354240513454,3.24636247816236e-21,6.20797259038306e-19
"Nfkbia",1969.11137157731,-0.848315024122411,0.0937942526077041,1.31883033766638e-20,2.38565714864894e-18
"Cox8a",1054.98420541618,-0.818630181233778,0.0904936725699361,1.28938731964796e-20,2.38565714864894e-18
"Rps11",3265.16221103404,-0.709929338561965,0.078572279327331,1.81306473122789e-20,3.19337953844954e-18
"Pfn1",1533.34407477132,-0.738557340072184,0.0822686474736982,2.79877433521473e-20,4.80312733989543e-18
"Rpl26",3140.59283776297,-0.648137712524208,0.0720934228064767,3.28064948636633e-20,5.48934675306246e-18
"Hk2",183.588544973875,1.42184197901877,0.161497071685379,9.62960686072406e-20,1.5719746028982e-17
"Fos",7847.66758176966,-0.770931070944884,0.0879168398502545,1.75880734304943e-19,2.8027851302452e-17
"Rps4x",3368.10528164458,-0.645011166132074,0.0734167021499465,1.86635676447619e-19,2.90500600573003e-17
"Rpl3",1853.92335151244,-0.681278262571096,0.0776237050573452,1.95446478875748e-19,2.97300746162586e-17
"Ubb",2046.07077290506,-0.78105687834053,0.0894441192402352,2.32037695680505e-19,3.45117399375472e-17
"Rps27a",3817.17152799555,-0.640940398303394,0.0733645390942888,3.0110970949107e-19,4.38114627309507e-17
"Rpl11",2730.31571924943,-0.679119749427335,0.0779231127016386,3.34963335226456e-19,4.77002043121419e-17
"Rps14",3686.31589967935,-0.673524308638817,0.0785487554669348,3.93956469504217e-19,5.49323052164943e-17
"Rps15a",2920.25650763265,-0.712154061181191,0.0820128941582378,4.04651430907388e-19,5.52720821849623e-17
"Rpl27a",3805.78381998596,-0.628145273710634,0.072835414631114,8.30759827278273e-19,1.1120551047947e-16
"Fcer1g",3183.90662385441,-0.664118418278969,0.0774492982007737,1.16134915991674e-18,1.52409998574956e-16
"H3f3b",5181.01857757618,-0.679746728115499,0.0799180400594693,2.06470884656378e-18,2.65751852116373e-16
"Rpl12",2411.56757730001,-0.673811979261356,0.0796844392894612,3.17748465770444e-18,4.01262354981431e-16
"Rpl29",1404.24847063658,-0.739864925370469,0.0878118436460775,3.52519451077978e-18,4.36928275197205e-16
"Gapdh",579.412880681338,-0.934713640837367,0.111656937608157,4.14079302260578e-18,5.03896867278191e-16
"Gm14743",42.2197206664086,3.63556235756698,0.433946469463314,4.83138651673306e-18,5.77436963508828e-16
"Hint1",619.192763862742,-0.863604351056959,0.103309099570889,5.21047533770574e-18,6.11819498864289e-16
"Rplp1",5582.85968633191,-0.59470507640037,0.0706936265418054,5.41466817037215e-18,6.24834035591393e-16
"Cox5a",428.699554636287,-1.01089593878836,0.121605053362753,6.34395552897493e-18,7.19662616193715e-16
"Ap2a2",176.089799566825,1.47109048239411,0.178659039862646,1.26134712847221e-17,1.40703272181075e-15
"Rplp0",2233.08179874433,-0.626162548265409,0.0756982654081293,1.71698273686294e-17,1.8838959766924e-15
"Rpl7a",1231.8557607125,-0.722156068342476,0.0877293314876614,1.90001657178331e-17,2.05109853466866e-15
"Gng5",867.163597911578,-0.797025771309291,0.0972825715041048,2.34687176558212e-17,2.4932718614351e-15
"Btf3",630.011701205451,-0.830690518755835,0.101646110188137,2.61311745417287e-17,2.73274923762172e-15
"Rps24",5436.77858205871,-0.576496027183434,0.0700399129531999,2.72784620203265e-17,2.80884225080069e-15
"Npm1",705.956134579707,-0.797616111094286,0.097633378407958,2.88517849077828e-17,2.92583327860289e-15
"Rpl10a",1749.67505410514,-0.71618200629635,0.0875577739859481,2.96059519960743e-17,2.95750204044367e-15
"Sh3bgrl3",1177.33905709853,-0.746245255756206,0.0917600350072539,4.32846721179346e-17,4.2603575071373e-15
"Rpl18",2012.93133637713,-0.624277058521005,0.0765997692506326,4.79964690234697e-17,4.65565749527656e-15
"Rpl19",3266.17205029886,-0.586308930088132,0.0724561548427056,8.44744079990451e-17,8.07696018196584e-15
"Rpl21",2729.60792027358,-0.663671095634155,0.0826818733609673,1.16432535367396e-16,1.09758163269574e-14
"Tsix",123.468274802402,1.63271899786996,0.206815968053268,1.37185139008056e-16,1.27525018802906e-14
"Cd74",17445.1574550285,-0.650387856227873,0.0814329967614867,1.66166166453622e-16,1.52349335900561e-14
"Rps12",4618.91762856652,-0.599779888192532,0.0755419524666713,2.75330315295174e-16,2.49025108144675e-14
"Dync1i2",282.576341455465,1.02362685406724,0.130519892628455,3.31417917842214e-16,2.95757349882392e-14
"Cd9",373.3626606528,-1.0330877893273,0.132440635051511,3.74931136660576e-16,3.30186065482794e-14
"Sumo2",430.519175927167,-0.874135432265695,0.111604531053992,4.27050243558206e-16,3.71200945472088e-14
"Ftl1",8920.57675609485,-0.612142569203129,0.0779181446651114,5.22946455289794e-16,4.4872828528905e-14
"Rpl28",2517.29643999992,-0.592638071344646,0.0755863510420362,6.16288840388535e-16,5.22129266926641e-14
"Dusp1",2198.80431938604,-0.729904565178763,0.0936444307892503,6.70222173030483e-16,5.60724625511628e-14
"Bri3",635.469979529669,-0.796026022325473,0.102621608629807,7.90520554980975e-16,6.53204206726872e-14
"Atp5j",431.049336590256,-0.909688295651009,0.117683838288586,8.06025111397923e-16,6.57893423242232e-14
"C1qb",5737.90904266222,-0.603248519077672,0.0773592370751901,8.52570297931154e-16,6.87500361934122e-14
"Actg1",1899.25885715344,-0.682796956713894,0.0879294869957511,8.87437562377797e-16,7.07097572023166e-14
"Atp6v0c",1468.61725915918,-0.678956414711997,0.0876484095736074,1.03982299653878e-15,8.18768860686358e-14
"Gpr183",420.502131630279,1.05064966050106,0.136994877849115,1.37931973661924e-15,1.07346360432472e-13
"Rps3a1",2911.26471899758,-0.563127868755634,0.072736194740683,1.4928533414258e-15,1.13541675160942e-13
"Zfp36",2523.45526482335,-0.649228079525526,0.0841603247255725,1.48074824890237e-15,1.13541675160942e-13
"Rpl15",1891.08153536725,-0.649290185135008,0.0844134641210016,1.72753461697014e-15,1.29914485296417e-13
"Atp5h",609.948256029515,-0.792909829602541,0.104989539314061,3.72024156358428e-15,2.76661964278551e-13
"Cox4i1",1180.53145732322,-0.655874399435335,0.0866762041728759,4.57831271018085e-15,3.36732384277367e-13
"Rps3",2135.96202707912,-0.639820380213985,0.0847641199710246,5.44961640082296e-15,3.96459593159871e-13
"Itm2b",5206.79119088882,-0.56182048452894,0.074293308277332,5.96347315438463e-15,4.29177697013939e-13
"Obp1a",795.279894472797,0.935067648479666,0.12685367647583,1.26062064236443e-14,8.97588719079268e-13
"Ybx1",1028.97680233879,-0.655072540048247,0.0882141922499708,1.35389871157691e-14,9.53857271219398e-13
"Rpl7",1910.83608407114,-0.598998148307697,0.0806121233987701,1.46744942833655e-14,1.02308739831839e-12
"Rpl38",2623.90463807921,0.603153163955272,0.0811101663869233,1.49067094926293e-14,1.02856295499142e-12
"Sem1",615.058410863691,-0.755346599436916,0.102313082370878,1.53090374191803e-14,1.04554476986299e-12
"Ppia",2346.88772967874,-0.581132388435983,0.079175425255838,3.04542953342879e-14,2.05889493608473e-12
"Por",44.2546422079795,2.48406893936681,0.344628716128087,3.17440189245919e-14,2.12462718662294e-12
"Tyrobp",3505.77678654734,-0.630467870246562,0.086451989593173,3.79075662838794e-14,2.5120330805743e-12
"Rps18",2275.71084667457,-0.588741405160784,0.0807436325411222,4.24656740578724e-14,2.78649761244451e-12
"Rps5",2474.11482785389,-0.546717206577771,0.074905420787131,4.54599143739745e-14,2.95401171752438e-12
"Rpl13a",2293.93441799623,-0.619549785639121,0.0852387591094727,4.69215258836865e-14,3.01967089172609e-12
"Rpl23",4655.64846719034,-0.549472585814929,0.0758912794612291,7.00584854783383e-14,4.46572803149065e-12
"Uqcrh",656.159915721165,-0.75035086365746,0.104712484443879,7.6628470689654e-14,4.83843730496089e-12
"Cfl1",1309.33162348926,-0.692854281991645,0.096910770787717,9.38741252173111e-14,5.87195813158377e-12
"Slc38a2",316.844088820957,0.897459208863175,0.126238661417682,9.73252713384892e-14,6.03146334322693e-12
"Selenow",382.04978512288,-0.848459833656795,0.119327139316797,9.95735023682787e-14,6.11417845276045e-12
"H2afz",970.258037260958,-0.776237302864232,0.10976649265675,1.42239944118426e-13,8.65465405440569e-12
"Dynll1",501.379283869751,-0.745695597929719,0.106000864550657,2.04057129748066e-13,1.23040934180523e-11
"Clta",941.496503396713,-0.652859437143161,0.0929656314773342,2.70215897434806e-13,1.6147812513671e-11
"Stoml3",75.52397991529,-1.66222488028655,0.241540827796843,3.03284123728056e-13,1.79635454877158e-11
"Fth1",17731.9025127102,-0.620653481088358,0.089442677727115,4.95830577669968e-13,2.91104741784658e-11
"Map1b",79.808073521164,-1.59376526477325,0.233421066627025,5.18192328112552e-13,3.01587934961505e-11
"Eef1a1",4997.16016483819,-0.500753214829954,0.0718670799925002,5.35109604333711e-13,3.08749015672891e-11
"Eif3j1",111.544627788085,1.32006299601104,0.194319180219164,7.70872918571903e-13,4.40978841367671e-11
"Rpl13",4003.57313909069,-0.536611262997626,0.0787562832651289,1.53167490674738e-12,8.68771199225442e-11
"Cd63",1368.28383305104,-0.65177825185939,0.0963426139284509,1.54919923512066e-12,8.71326931148114e-11
"Pfdn5",841.620235647268,-0.630698559668661,0.0932453381992768,1.69990505773459e-12,9.48122045951465e-11
"H2-Aa",6634.83345734338,-0.625215269546738,0.0924671169108558,1.74658843766986e-12,9.66108794489618e-11
"Prdx1",1034.51366133346,-0.65353155004444,0.0970606638109936,1.92903228423864e-12,1.05827976052535e-10
"Chchd2",797.727187604665,-0.662986249194884,0.0993087711273413,2.80618676512886e-12,1.52697626170792e-10
"Jund",2219.09498918719,-0.722018224053219,0.108780055022746,3.25999615232176e-12,1.7532324522392e-10
"Naca",939.12888675829,-0.656813638698339,0.0987662385391315,3.27437705856717e-12,1.7532324522392e-10
"Atox1",1093.21484919186,-0.593567274315511,0.0891061128705052,3.66562335295694e-12,1.94714421439213e-10
"Nme2",546.653734405589,-0.730264959929588,0.110763812298573,4.27022930124546e-12,2.25044446560912e-10
"Susd6",156.361833346247,1.12167389603106,0.171121723672777,4.38169902563029e-12,2.29114934207371e-10
"Rpl5",1616.98385983358,-0.54199505127773,0.0816328128108515,4.90916620573287e-12,2.54705809418373e-10
"Cox7a2",388.767238656797,-0.78686555343519,0.120487535160735,5.96485588711645e-12,3.04754049255499e-10
"Eif1",2010.41650307819,-0.555703304699096,0.0841001598805098,5.95363006105146e-12,3.04754049255499e-10
"Hnrnpf",494.45168173199,-0.726426554173349,0.111207713354348,6.99182926068155e-12,3.54517524558649e-10
"Ap2b1",105.296053241941,1.31725143254916,0.204229044836195,7.37519266805802e-12,3.71144094190318e-10
"Dstn",359.126428253732,0.809186187218026,0.124759572883144,8.08833906636864e-12,4.03994428143323e-10
"Gpr65",598.001283401048,0.813164963686547,0.126010473201308,9.28080663246288e-12,4.60121768822771e-10
"Rack1",1691.32354568884,-0.519896767421414,0.0793418888734006,9.63867989379471e-12,4.74350621538e-10
"Cstb",424.952669544639,-0.727796329315008,0.112580826927793,1.02607639489813e-11,5.01279511755705e-10
"Bst2",1006.48438759911,-0.591059608309283,0.0908946479648488,1.05795114655232e-11,5.13106306077876e-10
"Rpl22",1618.51091254699,-0.533127915553642,0.0816946293892429,1.09745376902469e-11,5.28435832811673e-10
"Rpl18a",2974.96882075927,-0.488649854579909,0.0750056174083517,1.3644265587481e-11,6.52293354121504e-10
"Ndufc2",361.682984346386,-0.786554426767558,0.123168792790127,1.5451236798631e-11,7.33440623356293e-10
"Serf2",1226.76117720448,-0.604744903191345,0.0942205363711835,1.82111606425687e-11,8.58361254793749e-10
"Junb",4032.51120721511,-0.526767120947943,0.0820651664885464,2.22756036573403e-11,1.04259171523481e-09
"Rps9",3828.14465899764,-0.474293541666612,0.0736059157023393,2.29888610004114e-11,1.06850310191496e-09
"Bsg",363.031070781073,-0.794870140155013,0.126505879690737,2.80330880235938e-11,1.29396867684078e-09
"Atp5g2",641.909887379482,-0.659590392974134,0.104323286160314,2.85182477246488e-11,1.30734679466489e-09
"Socs3",690.295121264876,-0.742155872836236,0.117532915556012,2.92927853988827e-11,1.33371845356954e-09
"S100a5",85.6380072526172,-1.40255092254325,0.225229390912551,3.0201647047951e-11,1.36580826818876e-09
"Txn1",372.855511318819,-0.853375516212197,0.136737210597621,3.29981082984156e-11,1.45300222921905e-09
"Tnrc6a",133.350309772988,1.1153004944799,0.178943722682727,3.25149981760374e-11,1.45300222921905e-09
"Gng13",71.9714509986448,-1.52137080237968,0.245888838344842,3.29341326258408e-11,1.45300222921905e-09
"Obp1b",439.984362270095,0.8475424356452,0.13548159345851,3.2814875266696e-11,1.45300222921905e-09
"Arpc3",772.599870459261,-0.618437254385844,0.0981038282544492,3.5914323647597e-11,1.57107560897625e-09
"Ube2s",212.393567326375,-0.996059564360575,0.16110794458324,4.11684990350318e-11,1.78922574052901e-09
"Srsf7",328.140442440515,-0.847480353923128,0.136784023104337,4.60702639526265e-11,1.98934372022535e-09
"Ubc",2345.05962389155,-0.614687190721829,0.098217561458001,5.00690416990908e-11,2.1481544621283e-09
"H2-K1",1551.99787379527,-0.516349277482599,0.0823174780999383,6.01489545868221e-11,2.56418441432866e-09
"Selenok",496.480240272272,-0.663054235770171,0.107057513045381,6.91959973520367e-11,2.93119500175431e-09
"Rbpj",320.554878172277,0.829218965189001,0.134952213989532,7.41688460073445e-11,3.12208859325256e-09
"Cd81",805.711771239096,-0.702110056742206,0.114084354974248,7.64464318748791e-11,3.19784980336603e-09
"Ost4",275.857758754665,-0.802876742874062,0.130931419239637,7.71368861038658e-11,3.20669055088928e-09
"Rpl23a",1911.49229455033,-0.506175647791627,0.0812325323548716,8.03953359207855e-11,3.32151841554208e-09
"Atp5g1",297.948653731176,-0.779196039092287,0.127192821808886,8.29224194092817e-11,3.40490646077498e-09
"Tle4",131.544990148608,1.13924388014676,0.187597410786279,9.30160887438739e-11,3.79607732904115e-09
"Atp6v1f",404.155120200359,-0.711236136829025,0.116124188247629,9.81869209719315e-11,3.98281855797053e-09
"Rbm3",640.630821811614,-0.722024994001993,0.118315907444881,9.91654218355945e-11,3.99827812256406e-09
"Eif3f",466.619394402396,-0.681468555770619,0.111472377299991,1.06797259086832e-10,4.28020392256387e-09
"Ppib",532.639898957547,-0.686666181554659,0.112474095019348,1.07770605380068e-10,4.29350393933807e-09
"Rpl34",2958.2200835649,-0.458286296515246,0.0739661905323416,1.21235428905162e-10,4.80135340628552e-09
"Ier5",1011.70520951117,-0.648464132953136,0.106464609513169,1.33416750807161e-10,5.25269595971956e-09
"Hes1",33.7203575326295,2.48796612324374,0.418105137926012,1.5221904311639e-10,5.95790675776605e-09
"Tsc22d4",283.642443465641,0.781974442568723,0.129698997029668,1.58855508603973e-10,6.14577987911209e-09
"Omp",65.6284844470378,-1.54493213053119,0.261026587370969,1.5818588746336e-10,6.14577987911209e-09
"Ndufb8",295.160682107447,-0.774607301414225,0.128845446863492,1.66706844719392e-10,6.4124650098097e-09
"Rdx",176.435381685378,1.01398626282474,0.170522365143186,1.8953221116222e-10,7.24879479604994e-09
"Rps26",2156.60305364947,-0.482703283492772,0.0794720022551288,2.32462679026793e-10,8.84018585639959e-09
"Clk1",567.479800875137,0.687811875967979,0.115062726177178,2.37971166938354e-10,8.99853683795707e-09
"Lyz2",8041.8387570474,-0.649359350512741,0.108694302865519,2.73273731275788e-10,1.02753993451059e-08
"Atp5o",237.942093426939,-0.854887361309099,0.144846090308205,2.94523669461748e-10,1.10125526240641e-08
"Cox5b",395.855819025457,-0.769448303423383,0.130527433405389,3.41765513537118e-10,1.27079810116885e-08
"Rps25",2449.48768428277,-0.470992779266006,0.0782653081405272,3.49504564751582e-10,1.2923945038024e-08
"Psmb2",204.285211027247,-0.90272215294313,0.153876433043052,3.55528926719289e-10,1.30744786073198e-08
"Prpf4b",267.255438335488,0.782698292993508,0.133017797476499,3.78331323249717e-10,1.38370029863954e-08
"St13",264.472126223719,0.857762035797432,0.14607371019925,3.84945619847669e-10,1.4002396921959e-08
"Wdr43",67.9587160357192,1.46615067883832,0.253439801178023,4.61680217653439e-10,1.67028416040782e-08
"Actb",7769.88701127916,-0.434908565043017,0.0727001470435602,5.00547146671049e-10,1.80116239390824e-08
"Lyn",474.904194229924,0.658943370284174,0.112887444547296,6.04891315259577e-10,2.16499335456275e-08
"Rhoa",576.059675418322,-0.605766304626777,0.103581717547346,6.40948257654081e-10,2.28184398323338e-08
"Ndufa13",404.395511063716,-0.66263589222402,0.114067454721229,7.19136194403301e-10,2.54665531700597e-08
