"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gm42418",11732.1416819226,1.41163245679903,0.101349916848245,2.86238629008456e-45,9.57897571976796e-42
"AY036118",977.388461441472,1.60951996661026,0.134237447595876,2.43458630984523e-34,4.07367154294854e-31
"Plek",1102.347153741,1.06774028087727,0.0900112933072114,1.34364619007622e-33,1.49883732503002e-30
"Nmt1",296.165948201282,1.52894124140964,0.13472752912803,3.90687733671219e-31,3.73553285923067e-28
"Mup4",60.5631923122469,5.26056835657528,0.52106730246953,3.38803936843032e-24,1.25978597182801e-21
"Cbr2",54.9858368579375,3.91834467349975,0.396417810262912,4.61860761800684e-24,1.62696530459578e-21
"Gm15655",59.375922597584,3.05551213144064,0.319204851192199,8.10988356582635e-23,2.01035002615095e-20
"Hk2",183.588544973875,1.42184197901877,0.161497071685379,9.62960686072406e-20,1.5719746028982e-17
"Gm14743",42.2197206664086,3.63556235756698,0.433946469463314,4.83138651673306e-18,5.77436963508828e-16
"Cox5a",428.699554636287,-1.01089593878836,0.121605053362753,6.34395552897493e-18,7.19662616193715e-16
"Ap2a2",176.089799566825,1.47109048239411,0.178659039862646,1.26134712847221e-17,1.40703272181075e-15
"Tsix",123.468274802402,1.63271899786996,0.206815968053268,1.37185139008056e-16,1.27525018802906e-14
"Dync1i2",282.576341455465,1.02362685406724,0.130519892628455,3.31417917842214e-16,2.95757349882392e-14
"Cd9",373.3626606528,-1.0330877893273,0.132440635051511,3.74931136660576e-16,3.30186065482794e-14
"Gpr183",420.502131630279,1.05064966050106,0.136994877849115,1.37931973661924e-15,1.07346360432472e-13
"Por",44.2546422079795,2.48406893936681,0.344628716128087,3.17440189245919e-14,2.12462718662294e-12
"Stoml3",75.52397991529,-1.66222488028655,0.241540827796843,3.03284123728056e-13,1.79635454877158e-11
"Map1b",79.808073521164,-1.59376526477325,0.233421066627025,5.18192328112552e-13,3.01587934961505e-11
"Eif3j1",111.544627788085,1.32006299601104,0.194319180219164,7.70872918571903e-13,4.40978841367671e-11
"Susd6",156.361833346247,1.12167389603106,0.171121723672777,4.38169902563029e-12,2.29114934207371e-10
