"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rps29",4301.50734738005,1.35872868219991,0.088738516740031,15.3116001046136,6.39705763611487e-53,3.35397731861503e-49
"mt-Nd3",714.452368265962,1.54330925467742,0.112561538849983,13.7108045114262,8.74824153233397e-43,2.29335151770135e-39
"Gm42418",20762.1579039828,1.3177685777019,0.0979110770841891,13.4588303687928,2.73206626186954e-41,4.77474113699399e-38
"AY036118",1436.33319869042,1.3623179936963,0.113270933335376,12.0270748512569,2.56073419888135e-33,3.35648235118373e-30
"mt-Atp8",224.982025133548,1.90475163737187,0.161665457528908,11.7820570113518,4.82997718123414e-32,5.06471407224212e-29
"Hes1",450.904575842236,1.45637823699983,0.133516082657812,10.9078862112243,1.05685167864828e-27,9.23512225192154e-25
"Cd200",1125.41449652376,1.07853559475363,0.102491515020517,10.5231695964073,6.75617813956491e-26,5.06037742653412e-23
"Rpl38",1886.13477661029,0.938252023276801,0.0938324218391793,9.99923059520817,1.53585679358686e-23,9.47157332401934e-21
"Rps28",2210.51565406502,0.936483692326305,0.0937084484800335,9.99358870535395,1.62586610559172e-23,9.47157332401934e-21
"Gm14743",158.840512638056,2.34876929279646,0.237025249262899,9.90936324337034,3.79054230421968e-23,1.98738133010238e-20
"Nmt1",127.411926517375,1.87829085373391,0.203518203266541,9.22910493305596,2.72902746706034e-20,1.3007537281634e-17
"Slc38a2",466.072485735904,1.09071035921153,0.120534533464732,9.04894496091174,1.44356315158889e-19,6.30716800315044e-17
"Malat1",36777.801928275,0.820913444024633,0.0908121182090316,9.03969051944204,1.57115999531165e-19,6.33660911955305e-17
"mt-Co1",6233.31374502929,0.780148861181682,0.0883620978210202,8.82899886285967,1.05616796274433e-18,3.9553490204775e-16
"mt-Nd2",1732.25149742917,0.835957104621284,0.0999090151657014,8.36718391463302,5.90115545698989e-17,2.06265053739987e-14
"mt-Co3",4232.90630143093,0.743091197550055,0.0898160295706871,8.27348081519487,1.30103744356822e-16,4.2633370728926e-14
"Tmsb4x",7062.2350624441,-0.666428255698381,0.0844425783930693,-7.89208795349953,2.9717216544542e-15,9.16513919664905e-13
"Dync1i2",246.553301495688,1.19327442286331,0.15341218265983,7.77822466361246,7.35493700066015e-15,2.14232970524784e-12
"mt-Nd5",694.354283209325,0.905510240465472,0.117541562868562,7.70374511251001,1.32135284612379e-14,3.64623840643529e-12
"Cped1",79.9803889300794,1.85545240709495,0.241682367256361,7.6772353240268,1.62558650372352e-14,4.2614750195112e-12
"Ubb",1403.59914458302,-0.712794220167439,0.0934138539738782,-7.63049793841886,2.33848705512033e-14,5.83842268095042e-12
"Fth1",3310.87335133168,-0.698660684710385,0.0918924078286562,-7.60302946912782,2.89277583089222e-14,6.89401076425814e-12
"Eif3j1",92.72658276773,1.75185468892083,0.232607016962139,7.53139226752552,5.02021223727121e-14,1.14439012000056e-11
"mt-Atp6",5935.25598814249,0.736771538686367,0.0984513630355745,7.48360932717753,7.23086965225787e-14,1.57964373278283e-11
"Rpl11",1691.10581173183,-0.682573863201595,0.0914805410069305,-7.46141043426802,8.5601142949934e-14,1.79522716994601e-11
"Rpl9",2032.46579425213,-0.726378957806191,0.0991199544137925,-7.32828179857512,2.33122135552847e-13,4.700997525783e-11
"mt-Nd6",77.2586994893017,1.81388490088095,0.249180565504272,7.27939956798057,3.35309184497177e-13,6.51120760858778e-11
"Ahnak",758.160665441654,0.846005049297648,0.122096589318708,6.92898183330349,4.23880227194729e-12,7.93715725422129e-10
