"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rps29",4301.50734738005,1.35872868219991,0.088738516740031,15.3116001046136,6.39705763611487e-53,3.35397731861503e-49
"mt-Nd3",714.452368265962,1.54330925467742,0.112561538849983,13.7108045114262,8.74824153233397e-43,2.29335151770135e-39
"Gm42418",20762.1579039828,1.3177685777019,0.0979110770841891,13.4588303687928,2.73206626186954e-41,4.77474113699399e-38
"AY036118",1436.33319869042,1.3623179936963,0.113270933335376,12.0270748512569,2.56073419888135e-33,3.35648235118373e-30
"mt-Atp8",224.982025133548,1.90475163737187,0.161665457528908,11.7820570113518,4.82997718123414e-32,5.06471407224212e-29
"Hes1",450.904575842236,1.45637823699983,0.133516082657812,10.9078862112243,1.05685167864828e-27,9.23512225192154e-25
"Cd200",1125.41449652376,1.07853559475363,0.102491515020517,10.5231695964073,6.75617813956491e-26,5.06037742653412e-23
"Gm14743",158.840512638056,2.34876929279646,0.237025249262899,9.90936324337034,3.79054230421968e-23,1.98738133010238e-20
"Nmt1",127.411926517375,1.87829085373391,0.203518203266541,9.22910493305596,2.72902746706034e-20,1.3007537281634e-17
"Slc38a2",466.072485735904,1.09071035921153,0.120534533464732,9.04894496091174,1.44356315158889e-19,6.30716800315044e-17
"Dync1i2",246.553301495688,1.19327442286331,0.15341218265983,7.77822466361246,7.35493700066015e-15,2.14232970524784e-12
"Cped1",79.9803889300794,1.85545240709495,0.241682367256361,7.6772353240268,1.62558650372352e-14,4.2614750195112e-12
"Eif3j1",92.72658276773,1.75185468892083,0.232607016962139,7.53139226752552,5.02021223727121e-14,1.14439012000056e-11
"mt-Nd6",77.2586994893017,1.81388490088095,0.249180565504272,7.27939956798057,3.35309184497177e-13,6.51120760858778e-11
"Nudcd3",87.041834690284,1.56976041942457,0.22866501724738,6.86489100222243,6.65420405580497e-12,1.12541909240598e-09
"Nmt2",81.2353609748677,1.55496166486991,0.237932258247486,6.53531251425568,6.34768545711241e-11,8.9948418517947e-09
"Mfsd4a",25.5018419657666,3.73852644289432,0.572702827571674,6.52786447509977,6.67140179424905e-11,9.20477884401257e-09
"Tsix",36.4795507000161,2.40363996041558,0.373965773331399,6.42743302148545,1.29776746292559e-10,1.60832096411026e-08
"Mecom",185.18670143873,1.14713795449813,0.187399982983594,6.12133435785079,9.27949515724517e-10,8.53550756305902e-08
"Arl6ip5",96.8313938907191,1.31353719738588,0.214470374552419,6.12456242558964,9.09331577084299e-10,8.53550756305902e-08
"Rapgef4",59.799836373464,1.65610485441712,0.272925192558362,6.06798089576499,1.29528308426657e-09,1.11330642800158e-07
"Tmco1",182.095756721581,1.11589965424041,0.187412085975049,5.95425662349746,2.61256588405748e-09,2.01436513678138e-07
"Pdcd4",160.930992461198,1.02987960737894,0.1761446153398,5.8467845037,5.01166067809681e-09,3.45738643885021e-07
"Snrnp27",107.068769535763,1.17071627187999,0.201875647569885,5.79919512815289,6.663396141965e-09,4.47899820157981e-07
"Brd9",83.0228154650445,1.35533608916244,0.236431949773869,5.73245743842455,9.89858784071028e-09,6.32906049376146e-07
"Ap2b1",92.9423469764389,1.23445058417975,0.217000455788031,5.68870042091331,1.28009811605177e-08,7.89594637936406e-07
"Ddx21",91.8604189253347,1.23157628245555,0.216678072205606,5.68389902087972,1.31658032736111e-08,8.02654727483058e-07
"Tnrc6a",130.074757722844,1.06427355301699,0.188268835689677,5.65294595421637,1.5772091131261e-08,9.50495101163234e-07
