seurat_clusters,organ_custom,time,mouse_id,n_cells
0,LNG,D02,m1_Sinus_D2,28
0,LNG,D02,m2_Sinus_D2,291
0,LNG,D02,m3_Sinus_D2,22
0,LNG,D05,m1_Sinus_D5,2
0,LNG,D05,m2_Sinus_D5,15
0,LNG,D05,m3_Sinus_D5,5
0,LNG,D08,m1_Sinus_D8,7
0,LNG,D08,m2_Sinus_D8,127
0,LNG,D08,m3_Sinus_D8,4
0,LNG,D14,m1_Sinus_D14,7
0,LNG,D14,m2_Sinus_D14,24
0,LNG,D14,m3_Sinus_D14,7
0,LNG,Naive,m1_Sinus_Naive,4
0,LNG,Naive,m2_Sinus_Naive,28
0,LNG,Naive,m3_Sinus_Naive,10
0,OM,D02,m1_ET_D2,168
0,OM,D02,m2_ET_D2,2499
0,OM,D02,m3_ET_D2,264
0,OM,D05,m1_ET_D5,135
0,OM,D05,m2_ET_D5,220
0,OM,D05,m3_ET_D5,1719
0,OM,D08,m1_ET_D8,281
0,OM,D08,m2_ET_D8,841
0,OM,D08,m3_ET_D8,408
0,OM,D14,m1_ET_D14,65
0,OM,D14,m2_ET_D14,296
0,OM,D14,m3_ET_D14,99
0,OM,Naive,m1_ET_Naive,207
0,OM,Naive,m2_ET_Naive,582
0,OM,Naive,m3_ET_Naive,450
0,RM,D02,m1_RT_D2,177
0,RM,D02,m2_RT_D2,531
0,RM,D02,m3_RT_D2,153
0,RM,D05,m1_RT_D5,111
0,RM,D05,m2_RT_D5,1444
0,RM,D05,m3_RT_D5,137
0,RM,D08,m1_RT_D8,120
0,RM,D08,m2_RT_D8,436
0,RM,D08,m3_RT_D8,231
0,RM,D14,m1_RT_D14,78
0,RM,D14,m2_RT_D14,80
0,RM,D14,m3_RT_D14,137
0,RM,Naive,m1_RT_Naive,198
0,RM,Naive,m2_RT_Naive,507
0,RM,Naive,m3_RT_Naive,118
1,LNG,D02,m1_Sinus_D2,488
1,LNG,D02,m2_Sinus_D2,485
1,LNG,D02,m3_Sinus_D2,337
1,LNG,D05,m1_Sinus_D5,335
1,LNG,D05,m2_Sinus_D5,314
1,LNG,D05,m3_Sinus_D5,143
1,LNG,D08,m1_Sinus_D8,256
1,LNG,D08,m2_Sinus_D8,193
1,LNG,D08,m3_Sinus_D8,138
1,LNG,D14,m1_Sinus_D14,398
1,LNG,D14,m2_Sinus_D14,720
1,LNG,D14,m3_Sinus_D14,236
1,LNG,Naive,m1_Sinus_Naive,183
1,LNG,Naive,m2_Sinus_Naive,89
1,LNG,Naive,m3_Sinus_Naive,128
1,OM,D02,m1_ET_D2,175
1,OM,D02,m2_ET_D2,221
1,OM,D02,m3_ET_D2,211
1,OM,D05,m1_ET_D5,43
1,OM,D05,m2_ET_D5,44
1,OM,D05,m3_ET_D5,45
1,OM,D08,m1_ET_D8,229
1,OM,D08,m2_ET_D8,247
1,OM,D08,m3_ET_D8,202
1,OM,D14,m1_ET_D14,125
1,OM,D14,m2_ET_D14,204
1,OM,D14,m3_ET_D14,257
1,OM,Naive,m1_ET_Naive,197
1,OM,Naive,m2_ET_Naive,151
1,OM,Naive,m3_ET_Naive,197
1,RM,D02,m1_RT_D2,449
1,RM,D02,m2_RT_D2,193
1,RM,D02,m3_RT_D2,208
1,RM,D05,m1_RT_D5,117
1,RM,D05,m2_RT_D5,210
1,RM,D05,m3_RT_D5,267
1,RM,D08,m1_RT_D8,186
1,RM,D08,m2_RT_D8,195
1,RM,D08,m3_RT_D8,237
1,RM,D14,m1_RT_D14,350
1,RM,D14,m2_RT_D14,262
1,RM,D14,m3_RT_D14,320
1,RM,Naive,m1_RT_Naive,481
1,RM,Naive,m2_RT_Naive,321
1,RM,Naive,m3_RT_Naive,264
2,LNG,D02,m1_Sinus_D2,41
2,LNG,D02,m2_Sinus_D2,37
2,LNG,D02,m3_Sinus_D2,30
2,LNG,D05,m1_Sinus_D5,7
2,LNG,D05,m2_Sinus_D5,19
2,LNG,D05,m3_Sinus_D5,177
2,LNG,D08,m1_Sinus_D8,13
2,LNG,D08,m2_Sinus_D8,12
2,LNG,D08,m3_Sinus_D8,3
2,LNG,D14,m1_Sinus_D14,245
2,LNG,D14,m2_Sinus_D14,1451
2,LNG,D14,m3_Sinus_D14,56
