seurat_clusters,organ_custom,time,n_cells
0,LNG,D02,341
0,LNG,D05,22
0,LNG,D08,138
0,LNG,D14,38
0,LNG,Naive,42
0,OM,D02,2931
0,OM,D05,2074
0,OM,D08,1530
0,OM,D14,460
0,OM,Naive,1239
0,RM,D02,861
0,RM,D05,1692
0,RM,D08,787
0,RM,D14,295
0,RM,Naive,823
1,LNG,D02,1310
1,LNG,D05,792
1,LNG,D08,587
1,LNG,D14,1354
1,LNG,Naive,400
1,OM,D02,607
1,OM,D05,132
1,OM,D08,678
1,OM,D14,586
1,OM,Naive,545
1,RM,D02,850
1,RM,D05,594
1,RM,D08,618
1,RM,D14,932
1,RM,Naive,1066
2,LNG,D02,108
2,LNG,D05,203
2,LNG,D08,28
2,LNG,D14,1752
2,LNG,Naive,416
2,OM,D02,951
2,OM,D05,19
2,OM,D08,690
2,OM,D14,760
2,OM,Naive,851
2,RM,D02,688
2,RM,D05,141
2,RM,D08,285
2,RM,D14,517
2,RM,Naive,187
3,LNG,D02,253
3,LNG,D05,177
3,LNG,D08,155
3,LNG,D14,133
3,LNG,Naive,127
3,OM,D02,146
3,OM,D05,55
3,OM,D08,115
3,OM,D14,42
3,OM,Naive,119
3,RM,D02,1556
3,RM,D05,1140
3,RM,D08,917
3,RM,D14,872
3,RM,Naive,1592
4,LNG,D02,858
4,LNG,D05,397
4,LNG,D08,308
4,LNG,D14,564
4,LNG,Naive,295
4,OM,D02,332
4,OM,D05,104
4,OM,D08,277
4,OM,D14,306
4,OM,Naive,311
4,RM,D02,706
4,RM,D05,370
4,RM,D08,255
4,RM,D14,396
4,RM,Naive,533
5,LNG,D02,92
5,LNG,D05,95
5,LNG,D08,53
5,LNG,D14,355
5,LNG,Naive,88
5,OM,D02,137
5,OM,D05,32
5,OM,D08,141
5,OM,D14,187
5,OM,Naive,144
5,RM,D02,206
5,RM,D05,445
5,RM,D08,1164
5,RM,D14,870
5,RM,Naive,254
6,LNG,D02,38
6,LNG,D05,1
6,LNG,D08,6
6,LNG,D14,35
6,LNG,Naive,11
6,OM,D02,488
6,OM,D05,43
6,OM,D08,447
6,OM,D14,536
6,OM,Naive,342
6,RM,D02,427
6,RM,D05,412
6,RM,D08,540
6,RM,D14,701
6,RM,Naive,235
7,LNG,D02,98
7,LNG,D05,51
7,LNG,D08,39
7,LNG,D14,142
7,LNG,Naive,52
7,OM,D02,310
7,OM,D05,103
7,OM,D08,170
7,OM,D14,511
7,OM,Naive,251
7,RM,D02,374
7,RM,D05,259
7,RM,D08,467
7,RM,D14,730
7,RM,Naive,548
8,LNG,D02,46
8,LNG,D05,16
8,LNG,D08,18
8,LNG,D14,25
8,LNG,Naive,20
8,OM,D02,512
8,OM,D05,278
8,OM,D08,414
8,OM,D14,244
8,OM,Naive,263
8,RM,D02,350
8,RM,D05,297
8,RM,D08,194
8,RM,D14,261
8,RM,Naive,458
9,LNG,D02,132
9,LNG,D05,13
9,LNG,D08,19
9,LNG,D14,12
9,LNG,Naive,7
9,OM,D02,559
9,OM,D05,489
9,OM,D08,448
9,OM,D14,81
9,OM,Naive,200
9,RM,D02,200
9,RM,D05,373
9,RM,D08,173
9,RM,D14,122
9,RM,Naive,339
10,LNG,D02,14
10,LNG,D05,379
10,LNG,D08,9
10,LNG,D14,20
10,LNG,Naive,8
10,OM,D02,14
10,OM,D05,34
10,OM,D08,18
10,OM,D14,8
10,OM,Naive,11
10,RM,D02,53
10,RM,D05,1129
10,RM,D08,1232
10,RM,D14,39
10,RM,Naive,23
11,LNG,D02,71
11,LNG,D05,66
11,LNG,D08,42
11,LNG,D14,98
11,LNG,Naive,50
11,OM,D02,163
11,OM,D05,124
11,OM,D08,187
11,OM,D14,244
11,OM,Naive,177
11,RM,D02,274
11,RM,D05,270
11,RM,D08,433
11,RM,D14,402
11,RM,Naive,290
12,LNG,D02,188
12,LNG,D05,182
12,LNG,D08,152
12,LNG,D14,188
12,LNG,Naive,104
12,OM,D02,42
12,OM,D05,27
12,OM,D08,56
12,OM,D14,17
12,OM,Naive,34
12,RM,D02,343
12,RM,D05,605
12,RM,D08,333
12,RM,D14,261
12,RM,Naive,281
13,LNG,D02,31
13,LNG,D05,8
13,LNG,D08,2
13,LNG,D14,53
13,LNG,Naive,9
13,OM,D02,470
13,OM,D05,19
13,OM,D08,245
13,OM,D14,849
13,OM,Naive,619
13,RM,D02,85
13,RM,D05,23
13,RM,D08,66
13,RM,D14,133
13,RM,Naive,36
14,LNG,D02,39
14,LNG,D05,44
14,LNG,D08,14
14,LNG,D14,43
14,LNG,Naive,11
14,OM,D02,371
14,OM,D05,144
14,OM,D08,157
14,OM,D14,622
14,OM,Naive,442
14,RM,D02,76
14,RM,D05,78
14,RM,D08,86
14,RM,D14,117
14,RM,Naive,71
15,LNG,D02,192
15,LNG,D05,93
15,LNG,D08,68
15,LNG,D14,39
15,LNG,Naive,67
15,OM,D02,117
15,OM,D05,43
15,OM,D08,70
15,OM,D14,27
15,OM,Naive,56
15,RM,D02,511
15,RM,D05,270
15,RM,D08,180
15,RM,D14,151
15,RM,Naive,345
16,LNG,D02,56
16,LNG,D05,53
16,LNG,D08,32
16,LNG,D14,91
16,LNG,Naive,38
16,OM,D02,67
16,OM,D05,6
16,OM,D08,44
16,OM,D14,68
16,OM,Naive,69
16,RM,D02,132
16,RM,D05,453
16,RM,D08,586
16,RM,D14,140
16,RM,Naive,208
17,LNG,D02,44
17,LNG,D05,11
17,LNG,D08,10
17,LNG,D14,9
17,LNG,Naive,5
17,OM,D02,224
17,OM,D05,154
17,OM,D08,172
17,OM,D14,117
17,OM,Naive,192
17,RM,D02,241
17,RM,D05,225
17,RM,D08,144
17,RM,D14,123
17,RM,Naive,199
18,LNG,D02,64
18,LNG,D05,18
18,LNG,D08,27
18,LNG,D14,20
18,LNG,Naive,11
18,OM,D02,361
18,OM,D05,57
18,OM,D08,288
18,OM,D14,82
18,OM,Naive,211
18,RM,D02,178
18,RM,D05,169
18,RM,D08,114
18,RM,D14,84
18,RM,Naive,149
19,LNG,D02,58
19,LNG,D05,24
19,LNG,D08,14
19,LNG,D14,15
19,LNG,Naive,9
19,OM,D02,235
19,OM,D05,188
19,OM,D08,285
19,OM,D14,148
19,OM,Naive,196
19,RM,D02,112
19,RM,D05,170
19,RM,D08,60
19,RM,D14,80
19,RM,Naive,120
20,LNG,D02,303
20,LNG,D05,337
20,LNG,D08,270
20,LNG,D14,254
20,LNG,Naive,154
20,OM,D02,5
20,OM,D05,5
20,OM,D08,2
20,OM,D14,1
20,OM,Naive,2
20,RM,D02,72
20,RM,D05,80
20,RM,D08,63
20,RM,D14,55
20,RM,Naive,43
21,LNG,D02,23
21,LNG,D05,4
21,LNG,D08,3
21,LNG,D14,5
21,LNG,Naive,12
21,OM,D02,469
21,OM,D05,31
21,OM,D08,158
21,OM,D14,196
21,OM,Naive,466
21,RM,D02,55
21,RM,D05,35
21,RM,D08,38
21,RM,D14,23
21,RM,Naive,31
22,LNG,D02,84
22,LNG,D05,24
22,LNG,D08,22
22,LNG,D14,34
22,LNG,Naive,15
22,OM,D02,155
22,OM,D05,77
22,OM,D08,109
22,OM,D14,53
22,OM,Naive,93
22,RM,D02,248
22,RM,D05,155
22,RM,D08,90
22,RM,D14,91
22,RM,Naive,142
23,LNG,D02,268
23,LNG,D05,342
23,LNG,D08,350
23,LNG,D14,163
23,LNG,Naive,185
23,OM,D02,11
23,OM,D05,1
23,OM,D14,7
23,OM,Naive,1
23,RM,D02,1
23,RM,D05,6
23,RM,D08,1
23,RM,Naive,5
24,LNG,D02,57
24,LNG,D05,66
24,LNG,D08,49
24,LNG,D14,42
24,LNG,Naive,21
24,OM,D02,1
24,OM,D14,1
24,RM,D02,166
24,RM,D05,206
24,RM,D08,218
24,RM,D14,93
24,RM,Naive,70
25,LNG,D02,26
25,LNG,D05,6
25,LNG,D08,6
25,LNG,D14,1
25,LNG,Naive,5
25,OM,D02,123
25,OM,D05,72
25,OM,D08,96
25,OM,D14,31
25,OM,Naive,175
25,RM,D02,106
25,RM,D05,67
25,RM,D08,54
25,RM,D14,25
25,RM,Naive,69
26,LNG,D02,7
26,LNG,D05,26
26,LNG,D08,2
26,LNG,D14,103
26,LNG,Naive,4
26,OM,D02,167
26,OM,D05,56
26,OM,D08,73
26,OM,D14,72
26,OM,Naive,153
26,RM,D02,40
26,RM,D05,21
26,RM,D08,26
26,RM,D14,40
26,RM,Naive,8
27,LNG,D02,13
27,LNG,D05,6
27,LNG,D08,8
27,LNG,D14,8
27,LNG,Naive,7
27,OM,D02,84
27,OM,D05,51
27,OM,D08,75
27,OM,D14,21
27,OM,Naive,79
27,RM,D02,101
27,RM,D05,77
27,RM,D08,53
27,RM,D14,48
27,RM,Naive,79
28,LNG,D02,31
28,LNG,D05,67
28,LNG,D08,49
28,LNG,D14,16
28,LNG,Naive,34
28,OM,Naive,3
28,RM,D02,337
28,RM,D05,38
28,RM,D08,5
28,RM,D14,3
28,RM,Naive,65
