"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.08047419988804,0.826,0.011,0,"0","Cnga4"
0,6.9470306903523,0.789,0.011,0,"0","Gm11992"
0,6.73060086934275,0.791,0.012,0,"0","Ano2"
0,6.70669641785344,0.969,0.026,0,"0","Adcy3"
0,6.68251955328046,0.879,0.014,0,"0","Kcnc4"
0,6.67710216497314,0.609,0.008,0,"0","Pth2"
0,6.66498474701489,0.788,0.012,0,"0","Slc1a2"
0,6.66367825300533,0.964,0.02,0,"0","Umodl1"
0,6.62055569815518,0.951,0.018,0,"0","Nrn1l"
0,6.51621023416376,0.901,0.017,0,"0","Faim2"
0,7.99886229546758,0.487,0.005,0,"1","Fcrls"
0,6.48880797309549,0.483,0.01,0,"1","Pf4"
0,6.42510849542753,0.907,0.024,0,"1","Ms4a7"
0,6.25091416984257,0.552,0.018,0,"1","Mrc1"
0,6.24728441845679,0.693,0.025,0,"1","Trem2"
0,6.13702490077995,0.98,0.029,0,"1","C1qc"
0,6.07038955024826,0.986,0.031,0,"1","C1qa"
0,6.00451290403758,0.413,0.012,0,"1","Gpr34"
0,5.81755007545087,0.987,0.035,0,"1","C1qb"
0,5.53713760291414,0.629,0.02,0,"1","C3ar1"
0,8.32147678566753,0.403,0.003,0,"2","Fcer2a"
0,7.59219585063993,0.663,0.01,0,"2","Ighd"
0,7.43675171214594,0.617,0.008,0,"2","Fcmr"
0,6.78193246962592,0.375,0.007,0,"2","Gm31243"
0,6.45981052409862,0.768,0.01,0,"2","Ms4a1"
0,5.96606715818135,0.557,0.02,0,"2","Bank1"
0,5.90898033452413,0.953,0.039,0,"2","Igkc"
0,5.73902665453677,0.732,0.012,0,"2","Iglc2"
0,5.519160443057,0.504,0.025,0,"2","H2-Ob"
0,5.29844870116003,0.97,0.034,0,"2","Cd79a"
0,6.09690724488214,0.355,0.006,0,"3","Acaa1b"
0,5.52058247410039,0.51,0.012,0,"3","Serpinb5"
0,4.99186641728569,0.838,0.043,0,"3","Krt15"
0,4.91773478759042,0.827,0.045,0,"3","Ccdc3"
0,4.83247164743893,0.301,0.014,0,"3","Fam110c"
0,4.79931325735695,0.591,0.024,0,"3","Defb1"
0,4.79355438723076,0.692,0.032,0,"3","Anxa8"
0,4.79258347314162,0.309,0.013,0,"3","Lgr6"
0,4.7599781060709,0.334,0.011,0,"3","Ifi202b"
0,4.6292617136832,0.931,0.097,0,"3","Sfn"
0,11.109431787296,0.397,0.001,0,"4","Gpihbp1"
0,10.1796390535684,0.284,0.001,0,"4","Rbp7"
0,9.85861287539777,0.524,0.001,0,"4","Sox18"
0,9.82499362839201,0.896,0.003,0,"4","Ptprb"
0,9.76763487591033,0.778,0.003,0,"4","Emcn"
0,9.58116619603936,0.67,0.002,0,"4","Cyyr1"
0,9.51882337751112,0.38,0.001,0,"4","Robo4"
0,9.48630065999267,0.423,0.001,0,"4","Sox17"
0,9.34297981878254,0.549,0.002,0,"4","Tie1"
0,9.22082085317579,0.488,0.002,0,"4","Myct1"
0,8.06445051587935,0.758,0.004,0,"5","Cd3e"
0,7.73357050751789,0.854,0.006,0,"5","Cd3g"
0,7.51996316830386,0.809,0.009,0,"5","Cd3d"
0,7.39389146791957,0.62,0.005,0,"5","Trac"
0,7.30522027310676,0.545,0.007,0,"5","Icos"
0,7.15318993223289,0.491,0.006,0,"5","Cxcr6"
0,7.0934724405567,0.256,0.002,0,"5","Cd6"
0,6.85913062000147,0.374,0.005,0,"5","Cd8b1"
0,6.85832548555144,0.277,0.004,0,"5","Ctla4"
0,6.78942021042447,0.871,0.014,0,"5","Trbc2"
0,7.64137720188915,0.267,0.003,0,"6","Siglecf"
0,6.06951157144959,0.772,0.023,0,"6","Cxcr2"
0,5.99535947570459,0.678,0.033,0,"6","Il1r2"
0,5.72530581754801,0.751,0.054,0,"6","Csf3r"
0,5.62535172405107,0.34,0.022,0,"6","Acod1"
0,5.62523182191668,0.5,0.03,0,"6","Clec4d"
0,5.54054564122534,0.359,0.02,0,"6","H2-Q10"
0,5.43543384375709,0.687,0.038,0,"6","Trem1"
0,5.31179181866233,0.269,0.006,0,"6","Stfa2l1"
0,5.27958435862778,0.699,0.064,0,"6","Ptgs2"
0,6.03589132982238,0.38,0.01,0,"7","Adgre4"
0,5.52078648480331,0.286,0.009,0,"7","Treml4"
0,5.2957022544761,0.358,0.017,0,"7","Ear2"
0,5.20394842669802,0.381,0.024,0,"7","Ace"
0,4.95629879799148,0.492,0.03,0,"7","Apoc2"
0,4.64162221987255,0.288,0.013,0,"7","F10"
0,4.43965819686282,0.286,0.015,0,"7","Gm9733"
0,4.4272446187794,0.559,0.032,0,"7","F13a1"
0,4.21273985733864,0.333,0.023,0,"7","AI839979"
0,3.99975059070402,0.567,0.042,0,"7","Gpr141"
0,8.30987020716404,0.366,0.001,0,"8","Car10"
0,7.76480398364365,0.86,0.01,0,"8","Nrcam"
0,7.72642524621344,0.703,0.006,0,"8","Abca4"
0,6.43749690606078,0.68,0.012,0,"8","Vit"
0,6.04609043575852,0.563,0.012,0,"8","Slc47a1"
0,5.68668177460329,0.294,0.006,0,"8","Serpinb1b"
0,5.49179263017813,0.937,0.027,0,"8","Igfbp2"
0,5.42270201716008,0.659,0.019,0,"8","Col23a1"
0,5.35553796474333,0.805,0.031,0,"8","Car12"
0,5.17523197132889,0.624,0.026,0,"8","Sema3d"
0,9.39501089651541,0.486,0.001,0,"9","Nhlh1"
0,8.70143664163913,0.368,0.001,0,"9","Thsd7b"
0,7.95267262479488,0.839,0.033,0,"9","Sox11"
0,7.91303252119517,0.681,0.009,0,"9","Gng8"
0,7.69288672517066,0.512,0.007,0,"9","Nhlh2"
0,7.66658755434117,0.711,0.019,0,"9","Gap43"
0,7.61888903738741,0.291,0.002,0,"9","Cnpy1"
0,7.57580711504746,0.251,0.004,0,"9","Scg2"
0,7.36047647984474,0.576,0.008,0,"9","Insm1"
0,7.02743755774664,0.427,0.008,0,"9","Stk32a"
0,6.60765037363473,0.737,0.016,0,"10","Ifi205"
0,5.68858648353628,0.472,0.014,0,"10","Cxcl9"
0,5.64952619549102,0.421,0.013,0,"10","Ly6i"
0,5.48817416462356,0.642,0.02,0,"10","Cfb"
0,5.32487859912135,0.369,0.01,0,"10","Trim30c"
0,5.30271783790619,0.781,0.073,0,"10","Ifit2"
0,5.21277896047923,0.954,0.093,0,"10","Ms4a4c"
0,5.10119491232773,0.673,0.04,0,"10","Calhm6"
0,5.07037029570808,0.83,0.052,0,"10","Ifi211"
0,4.9331115898603,0.503,0.023,0,"10","Phf11a"
0,7.89249539595404,0.278,0.003,0,"11","Ccl17"
0,6.25381800252212,0.497,0.01,0,"11","Cd209a"
0,5.31330178776024,0.493,0.027,0,"11","Tnfsf9"
0,5.21892367283714,0.369,0.011,0,"11","Flt3"
0,4.86311696502038,0.592,0.041,0,"11","Tnip3"
0,4.79031177115299,0.34,0.025,0,"11","Mgl2"
0,4.13041674461084,0.357,0.056,0,"11","Tbc1d4"
0,4.11952920105716,0.326,0.028,0,"11","Clec10a"
0,3.82377164086881,0.254,0.017,0,"11","Tnni2"
0,3.71477707836224,0.334,0.021,0,"11","Kmo"
0,6.79519043466389,0.296,0.04,0,"12","Bpifa1"
0,6.69324484635708,0.961,0.088,0,"12","Reg3g"
0,6.16847256810638,0.296,0.014,0,"12","Tff2"
0,5.97305237327799,0.771,0.024,0,"12","Gabrp"
0,5.83815564093933,0.287,0.007,0,"12","Ttc36"
0,5.54764272356523,0.858,0.05,0,"12","Serpinb11"
0,5.38070941729476,0.745,0.032,0,"12","Cyp4a12b"
0,5.36269435983947,0.734,0.028,0,"12","Kcnj16"
0,5.32853680047439,0.339,0.009,0,"12","Vtcn1"
0,4.86215779279267,0.758,0.059,0,"12","Sftpd"
0,8.14463725019694,0.793,0.006,0,"13","Ly6g"
0,7.70750892350586,0.833,0.021,0,"13","Mmp8"
0,7.08725800227469,0.356,0.003,0,"13","1700047M11Rik"
0,6.88258000820638,0.927,0.03,0,"13","Retnlg"
0,6.60665225641552,0.593,0.008,0,"13","Itgb2l"
0,6.60233151144831,0.996,0.026,0,"13","Wfdc21"
0,6.50224904944346,0.389,0.004,0,"13","Ceacam10"
0,6.41398872023695,0.99,0.064,0,"13","Lcn2"
0,6.40292329058647,0.959,0.021,0,"13","Ngp"
0,6.31057960842077,0.302,0.004,0,"13","9830107B12Rik"
0,9.90520418318104,0.317,0.003,0,"14","Elane"
0,9.64771986581545,0.28,0.001,0,"14","Mpo"
0,9.5379486759491,0.324,0.002,0,"14","Ctsg"
0,9.08047154386084,0.366,0.002,0,"14","Ms4a3"
0,8.70816500265713,0.425,0.012,0,"14","Prtn3"
0,6.70439325682996,0.373,0.007,0,"14","Fcnb"
0,5.44139164060955,0.295,0.006,0,"14","1700020L24Rik"
0,5.35100092514117,0.304,0.007,0,"14","Ska1"
0,5.23496465451432,0.721,0.04,0,"14","Hist1h2ap"
0,5.16811681736265,0.341,0.009,0,"14","Nuf2"
0,10.1035987837123,0.328,0.001,0,"15","Dpep1"
0,9.82573465588081,0.328,0.001,0,"15","Dpt"
0,9.65656941797145,0.713,0.003,0,"15","Mfap4"
0,9.64616289495478,0.31,0.001,0,"15","Hhip"
0,9.28261205232504,0.379,0.002,0,"15","Mfap5"
0,9.22695353311439,0.693,0.004,0,"15","Sfrp2"
0,9.07560654210292,0.369,0.002,0,"15","Scara5"
0,8.94894541967752,0.336,0.001,0,"15","Gm26771"
0,8.8722362972201,0.895,0.025,0,"15","Apod"
0,8.73256941714084,0.429,0.001,0,"15","Itgbl1"
0,10.5930063163329,0.332,0,0,"16","Klra8"
0,10.2521019720811,0.342,0.001,0,"16","Klra4"
0,9.06643880669359,0.717,0.002,0,"16","Ncr1"
0,8.3083263989779,0.726,0.005,0,"16","Klrb1c"
0,8.09359819054514,0.359,0.002,0,"16","Klra9"
0,8.01646929159805,0.376,0.003,0,"16","Klri2"
0,7.86531066776803,0.649,0.006,0,"16","Klre1"
0,7.8375013234512,0.628,0.009,0,"16","Prf1"
0,7.62535830539045,0.69,0.012,0,"16","Gzma"
0,7.53519556535999,0.309,0.002,0,"16","Klrb1a"
0,11.2410725832001,0.528,0.002,0,"17","5430419D17Rik"
0,11.0502019568329,0.412,0.008,0,"17","Bpifb4"
0,10.9655992821273,0.426,0.009,0,"17","Gpx6"
0,10.0095616567531,0.803,0.01,0,"17","Chil6"
0,9.93905013033165,0.259,0.001,0,"17","Slc22a2"
0,9.80950531672151,0.989,0.033,0,"17","Vmo1"
0,9.71866743967827,0.367,0.003,0,"17","Ptgds"
0,9.62018042069842,0.33,0.003,0,"17","Slc22a20"
0,9.29991523296221,0.71,0.003,0,"17","Rgr"
0,9.02117998493484,0.753,0.006,0,"17","Prss33"
0,9.56336942679391,0.979,0.005,0,"18","Smbd1"
0,9.26908304053399,0.95,0.006,0,"18","Galnt13"
0,9.23450834251186,0.979,0.033,0,"18","Coch"
0,9.23267798515308,0.968,0.007,0,"18","Ascl3"
0,9.07348656940621,0.264,0.001,0,"18","Myh7"
0,9.03491157825299,0.494,0.001,0,"18","Kl"
0,8.98881575633927,0.469,0.001,0,"18","Foxi2"
0,8.90915417238462,0.902,0.007,0,"18","Moxd1"
0,8.55863869132665,0.757,0.003,0,"18","Clcnka"
0,8.54234975718964,0.302,0.001,0,"18","1810063I02Rik"
0,9.72225080244008,0.955,0.008,0,"19","Muc2"
0,8.82760419005462,0.868,0.005,0,"19","Gldn"
0,8.41354321917763,0.985,0.047,0,"19","Sec14l3"
0,7.77793880971831,0.763,0.009,0,"19","Tex33"
0,7.73427546295697,0.492,0.003,0,"19","Kcnj5"
0,7.58816625876868,0.596,0.004,0,"19","Nipal1"
0,7.55261985372575,0.285,0.001,0,"19","Slc5a11"
0,7.47295871147166,0.386,0.002,0,"19","Oprk1"
0,7.27603628084314,0.378,0.003,0,"19","E330011O21Rik"
0,7.16035871031584,0.991,0.034,0,"19","Cyp2g1"
0,6.76388405384222,0.468,0.006,0,"20","Tac1"
0,6.10457048102298,0.701,0.015,0,"20","Barx2"
0,5.82237556091475,0.421,0.015,0,"20","Nkd2"
0,5.79052538780778,0.558,0.02,0,"20","Bglap3"
0,5.7793724570127,0.259,0.034,0,"20","Gm14744"
0,5.42570247588247,0.738,0.03,0,"20","Cited4"
0,5.40667916763395,0.305,0.037,0,"20","Lcn11"
0,5.31490249895253,0.872,0.055,0,"20","Tfcp2l1"
0,4.99415239550004,0.566,0.029,0,"20","Foxq1"
0,4.97526299666834,0.558,0.03,0,"20","Itprid1"
0,8.06822236054374,0.403,0.003,0,"21","Rag1"
